brand,ceat_shoppe,district,email_id,full_address,manufacturer_unique_id,phone_number,pincode,state,store_name,tel_number
FIRE STONE,,Proddatur ,,"#10/132, Mydukur Road, Opp' Reliance Petrol Bunk,Proddatur, Kadapa Dt.,Proddatur 516360",, Mob. No.: 9885389027,,,Janatha Tyres,  
FIRE STONE,,Pulivendula ,,"Near Pala Kendram, Kadapa Road,Pulivendula ",, Mob. No.: 8297535474,,,M/s. Sree Varadaraju Swamy Wheel Care,  
FIRE STONE,,Rajahmundry ,,"D.No.81-51-02,NH-5,Near-ONGC Base,Venkateshwara NagarRajahmundry 533106",, Mob. No.: 9848677755,,,Sri Sai Tripura Tyres,  
FIRE STONE,,Rajahmundry ,,"8-9-26/6, Near Thadithota, Vinayala Vari Street,Rajahmundry 533101",, Mob. No.: 9848184027,,,Jupudy Jaganadha Rao & Sons ,  
FIRE STONE,,Rajampet ,,"#2/164/b6/20, Bypass RoadRajampet 516115",, Mob. No.: 8187017754,,,New Sri Lakshmi Sai International 3D Wheel Alignment,  
FIRE STONE,,Rajampet ,, Rajampet ,, Mob. No.: -,,,Narayana Tyres ,  
FIRE STONE,,Singarayakonda ,, Singarayakonda ,, Mob. No.: -,,,Sri Lakshmi Tyres ,  
FIRE STONE,,Srikakulam ,,"RCC building. Survey no. 37/6 P, Peddapadu Road, Opp.:- State Bank of India, Ramalakshman Jn.,Srikakulam 532001",, Mob. No.: 9502196111,,,Sri Venkateswara Tyres,  
FIRE STONE,,Srikakulam ,,"RCC Builiding, Survey No.37/6.p, Peddapadu Road, Opp State Bank Of India, Ramlakshmana Jn.  Srikakulam 532001",, Mob. No.: 9966448080,,,Sri Venkateswara Tyres ,  
FIRE STONE,,Srikalahasti ,, Srikalahasti ,, Mob. No.: -,,,Sundeep Cars ,  
FIRE STONE,,Tadepalligudem ,,"Near Ome Santhi Viswa Vidyalayam, Tanuku road, Tadepalligudem 534102",, Mob. No.: 7799966989,,,Eswar Coastal Techno Links,  
FIRE STONE,,Tadepalligudem ,,"Near Om Shanti Vidyalayam, Tanuku Road, Tadepalligudem 534102",, Mob. No.: 9494340124,,,Eswar Coastal Techno Links ,  
FIRE STONE,,Tenali ,,"D.No-10-1-60,TilakRoad, Near Bank of India, ChenchupetTenali 522202",, Mob. No.: 8099941144,,,Shanmukha Sai Tyres & Decors,  
FIRE STONE,,Tenali ,,"D.no-10-1-60, Tilak Road, Near Bank Of India, Chenchupet, Guntur Dist., Tenali 522202",, Mob. No.: 9000567144,,,Shanmukha Sai Tyres & Decors ,  
FIRE STONE,,Tirupati ,,"#14/6, Krishna Reddy Colony, Auto Nagar, Renigunta RoadTirupati 517502",, Mob. No.: 9885644426,,,Raj Enterprises,  
FIRE STONE,,Tirupati ,,"#14-6, Krishna Reddy Colony Tirupati 517502",, Mob. No.: 09885644426/09133061344,,,Raj Enterprises ,  
FIRE STONE,,Tiruvur ,, Tiruvur ,, Mob. No.: -,,,Arepalli Car Care ,  
FIRE STONE,,Vijayawada ,,"D.No: 40-23/2-1, Pakeergudem, Near Jyothi Mahal Raod, Labbipet, Vijayawada 520010",, Mob. No.: 9985412255,,,ManjunadhaTyres,  
FIRE STONE,,Vijayawada ,,"D.no:52-1/3-1a, Ground Floor, Nh-5, Veterinary Colony, Road No:2, Road No:2, Krishna Dist Vijayawada 520008",, Mob. No.: 9052961144,,,Bright Blue Wheels ,  
FIRE STONE,,Visakhapatnam ,,"8-1-1, Beside Electrical Substation, Pantulugari Meda, NH-5, Old Gajuwaka, VisakhapatnamVisakhapatnam 530026",, Mob. No.: 9885234499,,,Sneha Enterprises, 08912577810
FIRE STONE,,Visakhapatnam ,,"D No. 32-37-14/3, Opp. Ramakrishna Theater, 75 Feet Road, Visakhapatnam 530001",, Mob. No.: 9866384449,,,Gopalakrishna Tyres ,  
FIRE STONE,,Vizianagaram ,,"Indira Nagar,Vizag Road,Govt Drivers Union OfficeVizianagaram 535002",, Mob. No.: 9441024114,,,Surya Tyres, 08922225122
FIRE STONE,,Vizianagaram ,,"D.No. 8-18, Indhira Nagar, Beside Way Bridge, Vizianagaram 535003",, Mob. No.: 9441415890,,,Aparna Tyres ,  
FIRE STONE,,Along ,,"Main Road, Opp. Vijaya Bank, Along, Arunachal Pradesh Along ",, Mob. No.: 3783222676,,,Kgb Enterprise ,  
FIRE STONE,,Itanagar ,,"Near Hotel Todo, NH-52 A, Itanagar, Dist-Papumpare,Itanagar 791111",," Mob. No.: 9612151100, 9436229767",,,Mbk Enterprises ,  
FIRE STONE,,Naharlagun ,,"Barapani Market, Naharlagun 791110",, Mob. No.: 94360-41213,,,Hongs United , 0360-2244297
FIRE STONE,,Pasighat ,,"Pasighat Market, Pasighat, Aruanchal Pradesh Pasighat ",, Mob. No.: -,,,Basudeo Singh ,  
FIRE STONE,,Anglong ,, Anglong ,, Mob. No.: -,,,Deepak Traders ,  
FIRE STONE,,Azara ,,"Vip Road, Juripara, Azara Azara ",, Mob. No.: -,,,Indian Wheelz ,  
FIRE STONE,,Bander Dawa ,, Bander Dawa ,, Mob. No.: -,,,Bgl Tyre International ,  
FIRE STONE,,Banderdewa ,,"Nh-15, Banderdewa, Lakhimpur,Banderdewa 787060",, Mob. No.: 9706052230,,,Ashok Motors,  
FIRE STONE,,Barpeta ,,"Simlaguri,P O Barpeta Road, Barpeta 781315",, Mob. No.: -,,,Biswakarma Maruti Works ,  
FIRE STONE,,Biswanath Chariali ,,"At Road, Biswanath Chariali, Dist-sonitpur, Assam Biswanath Chariali ",, Mob. No.: 9435564404,,,Bina Automation ,  
FIRE STONE,,Bongaigaon ,,"Chapaguri Road, Bongaigaon Bongaigaon ",, Mob. No.: -,,,Meghna Hyundai ,  
